,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace
344,750.0,flat,70.0,True,2,1,Madrid,Alcorcón,12614,good,False,4,Centro,False,False
345,660.0,flat,91.0,True,2,2,Afueras,Seseña,32282,good,False,5,El Quiñón,True,desconocido
346,700.0,flat,36.0,True,2,1,Madrid,Pozuelo de Alarcón,9525,good,False,3,Zona Pueblo,False,desconocido
347,695.0,flat,58.0,False,1,1,Madrid,Madrid,5659,good,False,1,Carabanchel,True,desconocido
348,710.0,flat,66.0,True,1,1,Madrid,Arganda,25013,good,False,2,Centro,True,True
349,700.0,duplex,120.0,True,3,3,Afueras,Yebes,53820,good,False,desconocido,desconocido,True,True
350,620.0,flat,80.0,True,2,1,Madrid,Bustarviejo,49280,good,False,2,desconocido,False,True
351,475.0,flat,46.0,False,1,1,Afueras,San Ildefonso o la Granja,57650,good,False,bj,desconocido,False,desconocido
352,500.0,flat,100.0,True,3,1,Afueras,Fuensalida,59106,good,False,3,desconocido,False,desconocido
353,700.0,flat,80.0,True,3,1,Madrid,Collado Mediano,40907,good,False,1,desconocido,False,True
354,715.0,flat,89.0,True,3,1,Madrid,Chinchón,39316,good,False,bj,desconocido,False,desconocido
355,650.0,flat,70.0,True,2,1,Afueras,Guadalajara,50516,good,False,3,Constitución-El Balconcillo,False,desconocido
356,750.0,flat,50.0,True,1,1,Madrid,Madrid,11203,good,False,1,Villa de Vallecas,True,True
357,750.0,flat,45.0,True,1,1,Madrid,Madrid,8426,good,False,2,Hortaleza,True,True
358,430.0,flat,60.0,True,1,1,Afueras,Valmojado,40108,good,False,1,desconocido,True,desconocido
359,380.0,penthouse,50.0,True,1,1,Afueras,San Ildefonso o la Granja,59674,good,False,5,desconocido,False,desconocido
360,550.0,studio,25.0,False,0,1,Madrid,Madrid,4650,good,False,bj,Tetuán,False,desconocido
361,550.0,flat,71.0,True,1,1,Afueras,San Ildefonso o la Granja,59601,good,False,bj,desconocido,False,desconocido
362,730.0,flat,60.0,True,1,1,Madrid,Colmenar Viejo,27803,good,False,desconocido,Centro,False,desconocido
364,750.0,penthouse,46.0,True,2,1,Madrid,Madrid,3889,good,False,4,Puente de Vallecas,True,desconocido
365,500.0,flat,80.0,True,2,1,Afueras,El Espinar,58500,good,False,desconocido,Los Ángeles de San Rafael,True,desconocido
366,700.0,flat,45.0,True,1,1,Madrid,Coslada,13887,good,False,bj,Ciudad 70,False,desconocido
367,680.0,flat,85.0,True,2,1,Madrid,Coslada,13303,renew,False,bj,Valleaguado - La Cañada,True,desconocido
368,700.0,flat,97.0,True,2,2,Afueras,Seseña,32308,good,False,6,El Quiñón,True,True
369,600.0,flat,28.0,False,1,1,Madrid,Madrid,4418,good,False,4,Tetuán,False,desconocido
370,620.0,flat,97.0,True,2,2,Afueras,Seseña,31278,good,False,1,El Quiñón,True,True
371,750.0,duplex,100.0,True,2,2,Afueras,Guadalajara,51395,good,False,desconocido,Casco Histórico,True,True
